id	name
23050	HSV-1 seropositivity for Herpes Simplex virus-1
23051	HSV-2 seropositivity for Herpes Simplex virus-2
23052	VZV seropositivity for Varicella Zoster Virus
23053	EBV seropositivity for Epstein-Barr Virus
23054	CMV seropositivity for Human Cytomegalovirus
23055	HHV-6 overall seropositivity for Human Herpesvirus-6
23056	HHV-6A seropositivity for Human Herpesvirus-6
23057	HHV-6B seropositivity for Human Herpesvirus-6
23058	HHV-7 seropositivity for Human Herpesvirus-7
23059	KSHV seropositivity for Kaposi's Sarcoma-Associated Herpesvirus
23060	HBV seropositivity for Hepatitis B Virus
23061	HCV seropositivity for Hepatitis C Virus
23062	T. gondii seropositivity for Toxoplasma gondii
23063	HTLV-1 seropositivity for Human T-Lymphotropic Virus 1
23064	HIV-1 seropositivity for Human Immunodeficiency Virus
23065	BKV seropositivity for Human Polyomavirus BKV
23066	JCV seropositivity for Human Polyomavirus JCV
23067	MCV seropositivity for Merkel Cell Polyomavirus
23068	HPV 16 Definition I seropositivity for Human Papillomavirus type-16
23075	HPV 16 Definition II seropositivity for Human Papillomavirus type-16
23069	HPV 18 seropositivity for Human Papillomavirus type-18
23070	C. trachomatis Definition I seropositivity for Chlamydia trachomatis
23071	C. trachomatis Definition II seropositivity for Chlamydia trachomatis
23073	H. pylori Definition I seropositivity for Helicobacter pylori
23074	H. pylori Definition II seropositivity for Helicobacter pylori
