id	name
23474	3-Hydroxybutyrate
23475	Acetate
23476	Acetoacetate
23477	Acetone
23460	Alanine
23479	Albumin (metabolomics)
23440	Apolipoprotein A1
23439	Apolipoprotein B (metabolomics)
23433	Average Diameter for HDL Particles
23432	Average Diameter for LDL Particles
23431	Average Diameter for VLDL Particles
23484	Cholesterol in Chylomicrons and Extremely Large VLDL
23526	Cholesterol in IDL
23561	Cholesterol in Large HDL
23533	Cholesterol in Large LDL
23498	Cholesterol in Large VLDL
23568	Cholesterol in Medium HDL
23540	Cholesterol in Medium LDL
23505	Cholesterol in Medium VLDL
23575	Cholesterol in Small HDL
23547	Cholesterol in Small LDL
23512	Cholesterol in Small VLDL
23554	Cholesterol in Very Large HDL
23491	Cholesterol in Very Large VLDL
23519	Cholesterol in Very Small VLDL
23485	Cholesteryl Esters in Chylomicrons and Extremely Large VLDL
23418	Cholesteryl Esters in HDL
23527	Cholesteryl Esters in IDL
23417	Cholesteryl Esters in LDL
23562	Cholesteryl Esters in Large HDL
23534	Cholesteryl Esters in Large LDL
23499	Cholesteryl Esters in Large VLDL
23569	Cholesteryl Esters in Medium HDL
23541	Cholesteryl Esters in Medium LDL
23506	Cholesteryl Esters in Medium VLDL
23576	Cholesteryl Esters in Small HDL
23548	Cholesteryl Esters in Small LDL
23513	Cholesteryl Esters in Small VLDL
23416	Cholesteryl Esters in VLDL
23555	Cholesteryl Esters in Very Large HDL
23492	Cholesteryl Esters in Very Large VLDL
23520	Cholesteryl Esters in Very Small VLDL
23473	Citrate
23404	Clinical LDL Cholesterol
23481	Concentration of Chylomicrons and Extremely Large VLDL Particles
23430	Concentration of HDL Particles
23523	Concentration of IDL Particles
23429	Concentration of LDL Particles
23558	Concentration of Large HDL Particles
23530	Concentration of Large LDL Particles
23495	Concentration of Large VLDL Particles
23565	Concentration of Medium HDL Particles
23537	Concentration of Medium LDL Particles
23502	Concentration of Medium VLDL Particles
23572	Concentration of Small HDL Particles
23544	Concentration of Small LDL Particles
23509	Concentration of Small VLDL Particles
23428	Concentration of VLDL Particles
23551	Concentration of Very Large HDL Particles
23488	Concentration of Very Large VLDL Particles
23516	Concentration of Very Small VLDL Particles
23478	Creatinine (metabolomics)
23443	Degree of Unsaturation
23450	Docosahexaenoic Acid
23486	Free Cholesterol in Chylomicrons and Extremely Large VLDL
23422	Free Cholesterol in HDL
23528	Free Cholesterol in IDL
23421	Free Cholesterol in LDL
23563	Free Cholesterol in Large HDL
23535	Free Cholesterol in Large LDL
23500	Free Cholesterol in Large VLDL
23570	Free Cholesterol in Medium HDL
23542	Free Cholesterol in Medium LDL
23507	Free Cholesterol in Medium VLDL
23577	Free Cholesterol in Small HDL
23549	Free Cholesterol in Small LDL
23514	Free Cholesterol in Small VLDL
23420	Free Cholesterol in VLDL
23556	Free Cholesterol in Very Large HDL
23493	Free Cholesterol in Very Large VLDL
23521	Free Cholesterol in Very Small VLDL
23470	Glucose (metabolomics)
20280	Glucose-lactate
23461	Glutamine
23462	Glycine
23480	Glycoprotein Acetyls
23406	HDL Cholesterol
23463	Histidine
23465	Isoleucine
23405	LDL Cholesterol
23471	Lactate
23466	Leucine
23449	Linoleic Acid
23447	Monounsaturated Fatty Acids
23444	Omega-3 Fatty Acids
23445	Omega-6 Fatty Acids
23468	Phenylalanine
23437	Phosphatidylcholines
23434	Phosphoglycerides
23483	Phospholipids in Chylomicrons and Extremely Large VLDL
23414	Phospholipids in HDL
23525	Phospholipids in IDL
23413	Phospholipids in LDL
23560	Phospholipids in Large HDL
23532	Phospholipids in Large LDL
23497	Phospholipids in Large VLDL
23567	Phospholipids in Medium HDL
23539	Phospholipids in Medium LDL
23504	Phospholipids in Medium VLDL
23574	Phospholipids in Small HDL
23546	Phospholipids in Small LDL
23511	Phospholipids in Small VLDL
23412	Phospholipids in VLDL
23553	Phospholipids in Very Large HDL
23490	Phospholipids in Very Large VLDL
23518	Phospholipids in Very Small VLDL
23446	Polyunsaturated Fatty Acids
23472	Pyruvate
23402	Remnant Cholesterol (Non-HDL, Non-LDL -Cholesterol)
23448	Saturated Fatty Acids
20281	Spectrometer-corrected alanine
23438	Sphingomyelins
23400	Total Cholesterol
23401	Total Cholesterol Minus HDL-C
23436	Total Cholines
23464	Total Concentration of Branched-Chain Amino Acids (Leucine + Isoleucine + Valine)
23427	Total Concentration of Lipoprotein Particles
23415	Total Esterified Cholesterol
23442	Total Fatty Acids
23419	Total Free Cholesterol
23482	Total Lipids in Chylomicrons and Extremely Large VLDL
23426	Total Lipids in HDL
23524	Total Lipids in IDL
23425	Total Lipids in LDL
23559	Total Lipids in Large HDL
23531	Total Lipids in Large LDL
23496	Total Lipids in Large VLDL
23423	Total Lipids in Lipoprotein Particles
23566	Total Lipids in Medium HDL
23538	Total Lipids in Medium LDL
23503	Total Lipids in Medium VLDL
23573	Total Lipids in Small HDL
23545	Total Lipids in Small LDL
23510	Total Lipids in Small VLDL
23424	Total Lipids in VLDL
23552	Total Lipids in Very Large HDL
23489	Total Lipids in Very Large VLDL
23517	Total Lipids in Very Small VLDL
23411	Total Phospholipids in Lipoprotein Particles
23407	Total Triglycerides
23487	Triglycerides in Chylomicrons and Extremely Large VLDL
23410	Triglycerides in HDL
23529	Triglycerides in IDL
23409	Triglycerides in LDL
23564	Triglycerides in Large HDL
23536	Triglycerides in Large LDL
23501	Triglycerides in Large VLDL
23571	Triglycerides in Medium HDL
23543	Triglycerides in Medium LDL
23508	Triglycerides in Medium VLDL
23578	Triglycerides in Small HDL
23550	Triglycerides in Small LDL
23515	Triglycerides in Small VLDL
23408	Triglycerides in VLDL
23557	Triglycerides in Very Large HDL
23494	Triglycerides in Very Large VLDL
23522	Triglycerides in Very Small VLDL
23469	Tyrosine
23403	VLDL Cholesterol
23467	Valine
